RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;GL;SP (Socialistische Partij);ChristenUnie;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);CU_SGP;Leefbaar Rotterdam;PvdA_GL;Gemeentebelangen;FNP;Lijst Pim Fortuyn;Gemeente Belangen;Algemeen Belang;PvdA-GL-D66;O.N.S.;GemeenteBelang Westland;Blanco lijst;Verenigde Senioren Partij;Gemeentebelang;BurgerBelang;Lijst Smolders Tilburg;G.O.B.;Leefbaar Utrecht;Burger Partij Amersfoort (BPA);Leefbaar Apeldoorn;BETER VOOR DORDT;Burgerbelangen;STADSPARTIJ;ROOSENDAALSE LIJST Piet Rampaart;Dorpsbelangen;Lijst Hilbrand Nawijn;Leefbaar Almere;Duurzaam Nederland;AMSTERDAM ANDERS/De Groenen;GL/De Groenen;Onafhankelijk Rijswijk;Leefbaar Haarlemmermeer [HAP];Onafhankelijke Partij Alkmaar (OPA);Voor De Gemeenschap (VDG);Leefbaar Capelle;leefbaar eindhoven;Islam Democraten;Rosmalens Belang;Zaanse Onafhankelijke Groepering;Stadspartij Sittard-Geleen-Born;Lijst Linssen;V.O.C. Hoorn;Werknemers Groepering;Onafhankelijk Moerdijk;Veldhoven Samen Anders (VSA);Breda '97;RAADSGROEPERING "BOSCH-BELANG";Heusden EEN;Winterswijks Belang;Gemeentebelangen Noordenveld;LEEFBAAR HILVERSUM;Solidair Nederland;Burgerbelangen Enschede;Weert Lokaal;Sterk Meppel (v/h Stadswacht/G.B.);Senioren Partij Maastricht;PRO '98 (Pro Barneveld - PvdA - D66);Democratisch Dorpsbelang;Soest 2002;Zuid Centraal;BURGERBELANGEN AMSTELVEEN;Burgerbelangen Landgraaf;Nieuwe Communistische Partij;LIJST SAMENWERKING;Leefbaar Purmerend 2001;Jouw Amersfoort;Leefbaar Delft;Lokaal Dinkelland;LEEFBAAR AMSTERDAM L A 92;Nieuw Rechts;Gemeente Belang Kampen;LIJST HARRY BAKKER;PAL GROENLINKS;Ouderen AppFl Eindhoven;Opsterlands Belang;TOP/GEMEENTEBELANGEN;Inwonersbelang Hellevoetsluis (IBH);Plop;Lokale Dorpspartijen;Politieke Partij Scheveningen (P.P.S.);Gemeentebelangen/VVD;Gemeentebelangen Groen Soest;Stadspartij Heerlen;GroenLinks/PE;Soc.Dem.Helmond/Ondernemend Helmond;Samenwerking Venray;Stuurgroep-Dorpsbelang combinatie;SWOLLWACHT;Volendam '80;Lokaal Belang Lingewaard;Democratische Groepering Geldrop (DGG);PrO (GroenLinks-PvdA-D66);Almere Partij;Tilburgse Volkspartij (TVP);Rucphense Volkspartij (R.V.P.);Combinatie Gemeentebelangen;Leefbaar 's-Hertogenbosch en Rosmalen;Haagse Stadspartij;Inwoners Partij Lelystad;Gemeentebelangen Overbetuwe;WAT WASSENAAR WIL;Lokaal Veenendaal;Algemeen Plaatselijk Belang;GBWP;Zaanse politieke vereniging ROSA;Gemeentebelangen Leidschendam-Voorburg;Democratisch Onafhankelijken Stein;Gemeentebelangen De Wolden;Gemeentebelangen B-E-S;Burgerbelangen Gemeente Emmen;D66/P.v.d.A.;GEMEENTEBELANGEN VEENDAM;Stadsbelangen Mestreech;Burger Belangen;STIP;Democratisch Zaanstad;Gemeentebelangen Rijswijk;Gemeente Belangen Veldhoven (GBV);DeurneNU;PACT Aalsmeer;Leefbaar Heerlen;Perspectief 21;Partij Souburg-Ritthem;BBB-NDB;Leefbaar Oegstgeest;P.C.W. (Protestantse Comb. W'veen);Hart voor Veghel;Inwonersbelangen;HEILOO - 2000;Leefbaar Ridderkerk;Progressief Akkoord;Leefbaar Wijchen;Nieuwe Lijn;Gemeentebelangen 1990;Partij Groot Meerssen;VV2000/Leefbaar Vlaardingen;Stadsbelangen;Partij Nieuw Laarbeek;Lokale Partij Ommen;Leefbaar Pijnacker-Nootdorp;Platform Progressief Wierden;Leefbaar Leiden;Communiceren Met Burgers;Volkspartij Dongen;Jong Uden;Politieke Partij DOE!;Gouda's 50+ Partij;ProTiel;Gemeente- en Dorpsbelang (GDB);Partij voor het Noorden;Ronde Venen Belang;Velsen Lokaal;Seyst.Nu;TOP;Stadspartij Rotterdam;Nijmegen Nu;Algemeen Ouderen Verbond Purmerend;Pro Arnhem;Ouderen Partij Heerlen;Valkenswaardse Belangen;CAPELS BELANG;ABZ;Burger en Gemeenschap;Lokale Partij I.P.V.;PAC;Hengelo.nu;Partij Groot Eijsden;Stadspartij Purmerend '93;Jongeren Akkoord Nederweert (J.A.N.);Leefbaar Alkmaar;Gemeentebelangen Hoogeveen e.o.;Leefbaar-Breda/DE PAREL VAN HET ZUIDEN;PAPENDRECHTS ALGEMEEN BELANG;Nieuw West;Beter Bodegraven;Stadspartij Harderwijk;Leefbaar Schouwen-Duiveland;Echt voor Albrandswaard;Algemeen Belang Zwijndrecht;Axielijst;Protestants Christelijke Groepering;Student en Stad;Beuningen Nu Morgen(BNM);Leefbaar Schiedam;ONS Noordoostpolder;Lijst Riel-Goirle;OOSTSTELLINGWERFSBELANG;Gemeenschapslijst;Kleurrijk Langedijk;Lijst Gerard Vosse;Tegelse Democraten;Dorpsvisie;Werkgroep Oud Gastel Stampersgat;Partij Nijkerk;OGP Midden-Delfland;ECO-DORDT;Ouderenpartij Sittard-Geleen-Born;HELMONDSE BELANGEN/Leefbaar Helmond;Christelijke Partij Burgerbelangen (C.P.B.);GEMEENTEBELANG RIJSSEN-HOLTEN;Progressief Ermelo;BBK LOKAAL;Recht door Zee;Gewoon Nijmegen;Liberaal 2000;SGP / H.K.V.;Weesper Stads Partij;Heerhugowaardse Onafhankelijke Partij;Partij van de Toekomst (PvdT);Kern'75;Combinatie'95;Stadspartij Leiden Ontzet;Nieuw Enkhuizen;Progressief Akkoord (PAK);Samenwerkingsverband Margraten;Leefbaar Zeewolde;Combinatie Algemeen Belang;Plaatselijk Burger Initiatief;Gemeente-Belangen;Groot Hontenisse;Balans;GEMEENTEBELANGEN BORGER-ODOORN;D66/GROENLINKS;Leefbaar Krimpen;Betaalbaar Bunschoten;Lijst Steenbergen Anders;Gemeentebelangen Tynaarlo;Hart voor Nijkerk;DorpsGoed;Balans Gulpen-Wittem;Maarssen 2000;Gemeenschapslijst Someren-Eind en 13;Progressief Rhenen/GROENLINKS;A.B. (Aalsmeerse Belangen);Vernieuwingsgroep;GemeenteBelangen Woudenberg (GBW);Lijst Borger (LBo);Algemeen Belang AB Valkenburg aan de Geul;Werknemerspartij-Algemeen Belang;Algemeen Ouderen Verbond (AOV);Dorpsbelang Son en Breugel;Dorpsbelangen en Toerisme;Blerickse Democraten;Gemeentebelangen Gouda;BuitenGewoon Leefbaar;Leefbaar Tynaarlo/EVZ2000;VVD/G.B.;LARENS BEHOUD;SAMEN;NIEUWE LEEUWARDER PARTIJ (NLP);Vught Samen Anders (PvdA/ProgVught);Best Open;Keerpunt 74;Stadspartij Knillis;Onafhankelijke Groepering;Gemeentebelangen Westvoorne;Politieke Partij "LEEFBAAR NUTH";Locaal Belang;PLAATSELIJK BELANG ZWOLLE (PBZ);Harderwijk Anders;Initiatief Helden '82 (I.H. '82);Groesbeekse Volkspartij;Ons Etten-Leur;Progressief Beek;Castricum Kern(en) Gezond (CKenG);B.B.H.;De Stadspartij;Nederlandse Volks Unie (NVU);Dorpspartij;BINT;Politieke Partij Middelburg (PPM);Vereniging Mooi Alkemade;COMBINATIE NUENEN c. a.;D66/VVD;Nuenens Belang;R.P.P.;V.L.P.;Partij Spaarnestad;Dantumadeel'82;Houtens Belang;Wel Denkend Den Haag;De Werkgroep;Leefbaar Simpelveld;Lokale Partij Bergeijk;Hoornse Senioren Partij (HSP);Gemeentebelangen Rozenburg;D66/BSD;GEMEENTEBELANG BERGAMBACHT (GB);Dorpslijst Druten;Dorpsbelangen Loosdrecht;Echte Lokale Aandacht Nu (ELAN);LEEFBAAR REIMERSWAAL;Gemeente Belangen Voorst;DORPSLIJST DREUMEL;Alphen Een;P.U. voor een leefbare Noordoostpolder;PLATFORM VIANEN;Stadspartij Nijmegen;Brunssumse Christen Democraten (BCD);FVP / Ouderenpartij Noord-Holland;GEMEENTE BELANGEN TWENTERAND;Texels Belang;Partij voor de IJsbaan;PROGRESSIEF HULST;Leefbaar Lelystad;B   '06;Dorpspartij Mierlo (DPM);Progressief Alternatief Steenwijkerland (PAS);Steins Politiek Verbond;Burger Initiatief;Ouderenpartij Noord-Holland;V.O.L.G.;Open en Duidelijk Stede Broec;BURGERFORUM;TransparanZ;Leefbaar Uden;Gemeentebelangen Leeuwarderadeel;Belfeldse Demokraten;Partij Gemeentebelangen;De Rotterdamse Bruggenbouwers (RBB);Samen Sterk Maasdriel;Democratisch Liberale Partij Hilversum;Liberaal Democraten IJsselstein LDIJ;Christelijke Arbeiders Partij (CAP);Nistelrode Solidair;Weststellingwerfs Belang;Hoevelaken Nú;Mokum Mobiel;gemeentebelangveghe!;Nieuw Zundert  Werknemersbelangen;STADSPARTIJ BURGERBELANGEN GELEEN;De Gewone Man;VVD/LOKAAL TWENTERAND;PP93;Algemeen Belan Bernheeze;BBL;Leefbaar Dronten;W70 Nuenen c.a.;P.G.A./P.v.d.A.;BBP;Samenwerking;Gemeentebelang Harderwijk/Hierden;Ouderen Partij Zandvoort;Sevenum 2000;Lokale Partij Vlissingen;Fractie Franssen;Democraten Onderbanken;Gemeente Belangen Wymbritseradiel;Leefbaar Haaksbergen;Inwonerspartij Toekomst Houten;Nieuw Lisse;alert!;Gemeentebelangen Opmeer;LOKAAL ALERT;Hart voor Rooi/Partij van de Arbeid;Luis in de Pels;Groep Jol;Algemeen Belang '89;Gemeentebelangen Olst-Wijhe;HELDER HELMOND;Progressief Westerveld GROENLINKS D66;Combinatie'90;Leerdam 2000;Z.V.V.;Onze Nieuwegeinse Samenleving (O.N.S.);DEMOCRATEN BEVERWIJK;GemeenteBelangen Nieuwerkerk;PRO Sliedrecht;Vereniging Liberaal Wormerland;Groepering Burgerbelangen;Leefbaar Huizen;ABT (Algemeen Belang Tholen);6 Kernen Belang;Progressief Zoeterwoude;Gemeentebelangen Eemsmond;Samenwerking '95;Hoeven 2000;Democratische Onafhankelijke Partij (D.O.P.);GEMEENTE BELANGEN/DT Lokale Partij;Leefbaar Schaesberg;P.v.d.A./P.K.;Pro Apeldoorn;Democraten Echt-Susteren;Algemeen Belang Hulst;Algemeen Belang Dongeradeel;G.K.A.P.;Leefbaar Montfoort;Stadspartij Den Helder;Burger Kiesvereniging  Zijpe Callantsoog;Leefbaar Heerenveen;Hart voor Blaricum;Nieuwe Albrandswaardse Partij;Dorpsbelangen Wijdemeren;Democratische Midden Partij (DMP);Plaatselijke Politieke Alliantie;Streekbelangen 93;Helmondse Senioren Partij;Progressief Landerd;Vrije Kiesvereniging-Gemeentebelang;Transparante partij voor Algemeen Belang (T@B);Helmond Aktief;Gemeenschapsbelangen Halderberge;Dorpsgroepering Pouwels;PUUR;GROOT HULST / GEMEENSCHAPPELIJKE BELANGEN;Lokaal Onafhankelijk Bernisse(LOB);Beter Alphen;Lithmaatschap;Gemeentebelang Franekeradeel;Algemeen Belang Biltse Bevolking;Progressief Leefbaar Cuijk ca '93;Lokaal Aktief;Vereniging Valkeberg TRANSPeRANT;Burger Partij Hof;Leefbaar Den Haag;Lokale Partij Borsele;Kernbeleid;Gemeentebelangen Appingedam;Gewoon Uden;LEEFBAAR ZOETERMEER;Politieke Partij Wij;Progressief Winterswijk;Gemeente Belangen Stede Broec (GBS);Gemeentebelangen Liesveld;Progressief Uitgeest (P.U.);PRO (PRogressief Onderbanken);Simpelveld Lokaal;Utregs Glorie;DS97;Gemeentebelangen Smallingerland;Werkgroep het Bildt;Vijf Dorpen Belang;Gestels Belang;Bladel Transparant;Zeelands Welzijn;Eindhovense Lijst Studenten;FWM-PvdA;REALISTEN '82;P.B.B.;Lokaal Heeze-Leende;OpKoers.nu;Drentse Ouderenpartijen;Leefbaar Asten;Werknemersbelang;STADSBELANG/Leefbaar Gorcum;LEEFBAAR ZEIST;Weerbaar Waddinxveen;WenS (Welzijn en Senioren);Gemeentebelangen  Stadskanaal (GBS);Inwoners Belang Groot Valkenburg (IBGV);GROEN BRABANT;Gemeente Belang Schoonhoven;Democratische Partij Boxtel-Liempde;Lokaal Centraal;Cranendonck Actief!;Dorpsbelangen Huizen;VERENIGD GELDROP MIERLO;De VrijeLijst;Lokaal Liberaal;LIBERAAL HAARLEM;Om Alkmaar (OMA);Almelo's Liberaal Alternatief;Progressieve Kombinatie Meerlo Wanssum;Combinatie Eenheids Lijst  ( CEL  );D.D.E. 2002;Algemeen Belang Laarbeek;Gemeenschapsbelangen Alphen;Gemeentebelangen 2000;De Acht Kernen;Reeuwijks Belang;Vooruitstrevend Dorpsbelang '78;Algemeen Belang '90;Samen Voor Abcoude/Baambrugge ( SVAB);JES;Onafhankelijken Partij L'dam-Voorburg;Lijst Stulp;3dpartij;VZ2000 Partij voor Veiligheid en Zorg;Gemeentebelangen Bedum;Kiesvereniging Leusden '90;VierKernenPartij;Onafhankelijke Partij;Haagsche Onafh. Ouderen Partij;Vrije Kiesvereniging Gemeentebelangen;VWK Eersel Anders;Heemskerk Anders;Cromstrijen '98;Middelburg Transparant;EdeseJaap;Algemeen Burger Belang;DEMOCRATISCH PODIUM (DP);Verenigd Noordwijk;Dorpslijst Oeffelt;GELDROPS BELANG;Unie Gemeentebelangen;Leefbaar Diemen;Leefbaar Nieuwenhagen;Stadspartij Wageningen;Ouderen Combinatie Amstelveen / V.S.P.;Forza! Haarlemmermeer;Conservatieve Democraten;Heemsteeds Burger Belang;Gemeentebelangen Slochteren;HUISSEN'90;Dommels Belang;Samen Welzijn;Maassluis Belang;Gezond Burger Verstand GBV;Leefbaar Alphen/Alphense Stadspart;Aalst-Waalre Belang;Demokratische Groepering Sint-Oedenrode;Gemeente Belangen Zeevang;Lijst Cees Freeke Terneuzen (LCF);Leefbaar Rucphen;Democraten Gemeente Heumen;inVENtief Venray;Noordwijk Totaal;Lijst Groessen;PAB Partij Algemeen Belang;Kernpunt;Leefbaarheid BoZ-Halsteren-Lepelstraat;LIBERAAL BLOEMENDAAL;US MESTREECH;Harlinger Belang / Harlinger Alternatief '97;Gemeentebelangen Achtkarspelen (GBA);Lijst Overloon;Ouderenpartij Sint-Oedenrode;Partij Maasdonk;Vrije Hapertse Partij (V.H.P.);GSSB (Gemeentelijke Samenwerking Son en Breugel);Progressief Landgraaf;Boxtels Belang;Partij Samenwerking;Sociaal Democraten Gemeente Losser;LIJST VAN DER JAGT GAYKEMA;Lieropse Lijst;PARTIJ VAN AMSTERDAM;STADS-Partij;Frans Maas voor Oud en Jong;Dorpsbelang;Belangen Aalburgse Burgers;Groen Drimmelen;KiesKees.nl;Gemeentebelangen Lemsterland;ONS Den Haag;DUURZAAM SCHAGEN '93;TilBurger Belang;Huisman Geldens;AKKOORD '94;Jongerenpartij JO;Boeren Partij;Bewoners Voor Loosduinen;Lokaal 2000;Stadspartij Almere;Redel Alternatief;Progressief '96;Dorpsbelangen en Toerisme Veere (DTV);Demokratische Samenwerking;Gemeente Belangen Schiedam;Werkgroep '84;Lokale Partij Grave;VVW voor Samenwerkende Kernen;Kleine Kernen Rijnwaarden;Gemeentebelangen Rijnwaarden;Algemene Belangen Combinatie;Progressief Den Bosch;Progressief Someren/P.v.d.A.;Algemeen Belang Waterland;Gemeenschapsbelang Venhorst;WijLeiden;Democraten Scherpenzeel/PvdA;Hoorns Belang;Realisten 2006;Voor Ieders Belang (V.I.B.);3Dorpenpartij (3DP);Democraten Voerendaal;F.D. Boven-Leeuwen;LIJSTVANBALEN;Gemeentebelangen Korendijk;Agrarisch Belang;BurgerBelangen '86 (BB'86 en PSVM);Leefbaar Nieuwegein;Streekbelangen/NigtevechtPLUS/D66;Algemeen Belang - Lijst Brouwer;Puur Bests Belang;Gemeente Belang Democraten(G.B.D.);Groep C.A.L.S.;Algemeen Belang Schijndel;Lijst Loon op Zand;Senioren Gestel;Gemeentebelangen Zwartewaterland;STADSPARTIJ ARNHEM '92;Lijst Huisman-Peeters (LHP);Samen Verder;Gemeentebelangen Beverwijk;Lev-06;Dorpslijst Puiflijk/Druten-Zuid;Partij Beneden-Leeuwen;Mijn Partij;Wieringen05;Kiesvereniging Algemeen Belang;F.D. Maasdorpen;Progressief Hoogezand-Sappemeer (PHS);AMSTERDAM LOKAAL;GL/SP/D66;Dorpen  Duurzaamheid;LIJST COUMANS -Har(d)t voor Kerkrade-;SENIOREN-SCHIJNDEL;Zaanstad Transparant;De Onafhankelijken;W.V.I.;Ubbergen Anders;Beter Moordrecht;Lijst Someren-Heide;Beeselse Lijst;Partij Frans Postma (PFP);StadsBelangen Vlaardingen;Burger Belangen '96;Hart voor Baarn;Waterland 95;Lijst Gemonde;OpsterLanders;Keerpunt '98;Lijst Lobith-Tolkamer;Welzijn Druten;HART VOOR TWENTERAND;Lokaal Alternatief;Stem Niet;DORP;Onafhankelijke Partij Vechtstreek (OPV);Onafhankelijke Fractie Oosterhout;AMSTERDAM LEEFT !;Almelose Ouderen Verbond (A.O.V.);AMELAND'82;ROODGEWOON;F.D. Wamel;Partij van de Samenwerking (PvdS);F.D. Beneden-Leeuwen;Buren Oprecht en Eerlijk (BOE);Gemeentebelangen Loppersum;HUISJE-BOOMPJE-BEESTJE;Progressieve Kombinatie;Liberaal Amsterdam;Rechts Protestants Christelijke Unie;Algemeen GemeenschapsBelang (A.G.B.);Fier Actief;Zuilen Vooruit;Gemeentebelangen Tietjerksteradeel;Hartgroen;Burger Vertegenwoordiging Enschede;Schermer Belang;Lijst Wil van Aken;Progressief Ondernemend Vlissingen;Humanistische Partij Amsterdam (H.P.);FRAKTIE HOOGELOON;GEMEENTEBELANGEN WINSUM;Smallingerlands Belang;O.N.S. Halderberge;GemeenteBelangen SamenwerkingsVerband;Gemeentebelangen Ferwerderadeel (GBF);Boekel's Welzijn;Belangengroep Rijkevoort;Dorpslijst Afferden;Het Vechtse Verbond;Leefbaar Almelo;Gemeentebelangen Giessenlanden;V.L.O. Vrije Lijst Oostflakkee;Venlose Democraten;Gemeentebelang Sint-Oedenrode;Lijst Schijndel;DOOR SAMENWERKING VOORUIT (DSV);Gemeentebelangen Neerijnen;Verenigde Communistische Partij;Leefbaar Kerkrade;LIBERAAL EINDHOVEN;Burger Belangen Brunssum - Lijst Palmen (LPa);Noord-Bevelands Belang (NBB);G.G.H.;Gemeente Belangen '74;Gemeentebelangen Reiderland;Fractie Gemeenschapsbelangen;Gemeentebel Smilde-Beilen-Westerbork;Senioren Partij Druten;Politiek Beugen;PRINS - Voor behoorlijk bestuur;Beter Buren;Progressief Wervershoof;Leiden Weer Gezellig/De Groenen;GP '94;BOBbes;BURGERBELANGENALMELO;DrieKern;Kritisch Menterwolde;POLITIEKE PARTIJ FRACTIE JASPERS;Liberale Burger Partij;LEEFBAAR SOMEREN;Strijens Belang;Gemeentebelangen Epe;Dorpslijst Langenboom;Gemeente Belangen Wieringermeer;Islamitische Partij Nederland;Nederland Mobiel;Participatie Partij;Leefbaar Leeuwarden (LL);Plaatselijk Belang Terschelling;Stadspartij PGN;ONS Nederland;Verenigd Gemeente Belang;Natuurlijk Zijpe;Rozenburgse Nieuwe Democraten;Vooruitstrevende Partij Maasdonk;Nieuw Heemstede;Progressief Wieringermeer;Actief Dorpsbelang;Multi Cultureel Nederland Partij;Fractie Scheffers - Vrij en Onafhankelijk;Dorpspartij Ermelo;Gemeentebelangen Maasdriel;Uitgeester vrije partij;Huizen Transparant;Gemeente Belangen Maurik (GBM);Gemeente-, Jeugd- en Sportbelangen;Leefbaar Rheden;Progressieve Democratische Partij;Alphen Lokaal;Woerden 2006;DEMOCRATEN DIEMEN;Pro Hoogeveen;Lokaal Aktief Maasbree Baarlo;Democratische Eenheids Partij;Gemeente Belangen Zandvoort (G.B.Z.);L T S  (Lijst Tinus Snyders);Nieuw Cranendonck;Politieke Partij Samen;Anna Paulowna Transparant (APT);Schiedam Lokaal;VRIJ PARTIJ;Bolswards Belang;Baarnse Onafhankelijke Partij;Dorpslijst Deest;Multi Volks Partij;Zwaagdijker Dorpsbelang;Sociaal Groesbeek;Sociaal Verantwoorde Politiek (SVP);Onafhankelijk Wieringen 1991;Gemeentebelangen '90;VIP Vooruitstrevende Integratie Partij;Onafhankelijk Wieringermeer '04;Progressieve Kombinatie Sevenum;Politieke Ouderen Beesel-Reuver;Partij Sociaal Nederland;Liberaal ETn;Maaskant Fraktie;Partij voor Maatschappelijk Belang;Partij voor de Burger (PvdB);Onafhankelijke Lokale Partij;LinksAppFl;Stadsbelang Leiden;Dorpslijst Horssen;Gemeente Belangen 1993 Losser;Dorp Vinkel;Ede Transparant;Nieuwe Blaricumse Partij;KESSELS PERSPECTIEF;RHENENS BELANG;Leefbaar Voerendaal;Amsterdam Transparant;Algemeen Belang Ameland;Gemeentebelangen Galder, Strijbeek, Ulvenhout AC;Verenigd Nuenen C.A.;Vooruitstrevende Partij Baarle;BEN Putten;Leefbaar Arcen, Lomm en Velden;Voor Alle Kernen Halderberge;Meijelse Volkspartij (M.V.P.);Belangengemeenschap Rozendaal;BELANGEN DIEMENAREN;Fractie Ulicoten;Politieke Vereniging Landsmeer;Nieuw Perspectief;Partij Gendt;Onafhankelijk Nieuw Emmen;Democratische Partij Kerkrade (DPK);Liberaal Laren;Blaricums Belang;blanco lijst;Forza! Nederland;Liberaal Hoogeveen;Sociaal Liberaal Zakelijk Boxmeer;Groep Hop;Socialistische Burger Partij Soest;SDP Weststellingwerf;N C D (Nederlandse Christen Democraten);Sociale Vernieuwing Maastricht;Samen Sterk Gemeente Coevorden;Politieke Vereniging Lijst Babijn (L.B.);D66 - Lijst Nuenen Lokaal;Onafhankelijk Nieuw Ambacht;Gemeentebelangen GaasterlGn-Sleat;Het Emmens Belang;Liberaal Goirle;zone30;LIJST WILLEM LUCHT (LWL);Liberale Willebrordse Partij (LWP);Partij Leefbaarheid Centraal;Hoogeveen Lokaal;Rotterdam Transparant;Lijst Leal;NATIONALE ALLIANTIE;Bunnik Transparant;DAAPS;Rosendael'74;Lijst Veldhoen;Liberaal Borne;Democratisch Platform Nederland;Roois Burger Belang;P.P. ONS;Lokaal Veendam;Ons Belang;--;MULTICULTURELE PARTIJ BREDA;Gemeentebelangen Delfzijl;WESP;VISIE;Algemeen Belang Vlieland;Mayse Partij;Leefbaar Heiloo;Open  Eerlijk;Kiesvereniging Schiermonnikoogs Belang;B.O.P.;Fractie Becker Den Haag;Het Verschil;Progressief Akkoord Rozendaal (PAK);Algemene Samenwerking  A.S.;Haagse Lente;Denheldertransparant;NATIONALE DEMOCRATISCHE PARTIJ (NDP);Christelijke Groepering Schiermonnkoog;Haarlem 2006 (Uw Toekomst);Leefbaar Emmen;Beter Baarn;Haagse Allochtonen Partij;proAssen;BEZEM;Partij vande Burger;Brede Volkspartij Schiedam;Partij Luijendijk;Groep voor Vernieuwing;De WaakhonD;Groep Werkers Akkoord;Fris 2000;Ons Zeewolde;Gelovig Democratische Unie;Algemeen Plaatselijk Belang (APB);DELFT VOORUIT!;POE partij;Leeuwarder Klokkenluiders;Vereniging Mastenbroek;Burgersbelangen PvdAC;Gelderse Centrumdemocraten;POLITIEKE PARTIJ "U" (P.P."U");EgalitT-de toekomst partij;Liberaal Helmond
Aa en Hunze;G1680;10787;Drenthe;P22;19875;13334;;46;13288;5052;1143;2461;1257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalburg;G0738;11084;Noord-Brabant;P30;8890;6387;;15;6372;823;1322;601;;;1162;;1436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
