RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);TROTS op Nederland Lijst Rita Verdonk;ChristenUnie/SGP;Leefbaar Rotterdam;PVV (Partij voor de Vrijheid);Gemeentebelangen;FNP;GROENLINKS/P.v.d.A.;Partij voor de Dieren;BETER VOOR DORDT;GemeenteBelang Westland;Algemeen Belang;RED AMSTERDAM;O.N.S.;Verenigde Senioren Partij;Burger Partij Amersfoort (BPA);Gemeente Belangen;STADSPARTIJ;Burgerbelangen;G.O.B.;Gemeentebelang;Haagse Stadspartij;Lokaal Dinkelland;Lokaal Belang;Roosendaalse Lijst;Lokale Politieke Federatie Westland;GemeenteBelangen;Leefbaar Ridderkerk;Lokaal Belang GVS;D66/GROENLINKS;Leefbaar Apeldoorn;Leefbaar 3B;Werknemers Groepering;Haarlemmermeerse Actieve Politiek [HAP];Onafhankelijke Partij Alkmaar (OPA);Leefbaar Almere;Leefbaar Capelle;Lijst Hilbrand Nawijn;Senioren Partij Maastricht;Politieke Partij Scheveningen;Burgerbelangen Enschede;Stadspartij Sittard-Geleen-Born;RAADSGROEPERING "BOSCH-BELANG";Dorpsbelangen;TOP/GEMEENTEBELANGEN;Westland Verstandig;Samen Verder;ROSMALENS BELANG;Swollwacht;Zaanse Onafhankelijke Groepering;Burger Belangen;Wakker Emmen;Gemeentebelangen Leidschendam-Voorburg;Onafhankelijk Moerdijk;Balans;Stadspartij Leefbaar Utrecht;Pro'98 (Pro Barneveld - PvdA - D66);Kernachtig Wijchen;B06-L2000;Blanco lijst (1e kandidaat Khoulani);Pro Hengelo;VV2000/Leefbaar Vlaardingen;PAL GROENLINKS;Islam Democraten;Ouderen AppFl Eindhoven;VVD-Leefbaar Uden;Lijst Linssen;DorpsBelangen;Tilburgse Volkspartij (TVP);GBWP;Gemeente Belangen Twenterand;Algemeen Plattelands Belang;Partij Jo Dejong;Zuid Centraal;Dorpsbelang;Gemeentebelangen/VVD;Algemeen Plaatselijk Belang;V.O.C. Hoorn;Ronduit Open;Inwonersbelang Hellevoetsluis (IBH);Onafhankelijk Rijswijk;Heusden EEN;Democratisch Dorpsbelang;ProgressiefWestland:PvdA/GroenLinks;Inwonersbelangen;Lokale Realisten;LIJST SAMENWERKING;LokaalBelang;GEMEENTEBELANGEN VEENDAM;Beuningen Nu & Morgen;Forza! Haarlemmermeer;Gemeentebelangen Groen Soest;Inwoners Partij Lelystad;BURGERBELANGEN AMSTELVEEN;ONS Voorschoten;Weert Lokaal;Veldhoven Samen Anders (VSA);STADSPARTIJ Zutphen Warnsveld;Inwonerspartij Toekomst Houten;Opsterlands Belang;Lokale Partij Vlissingen;Progressief Woerden (PvdA & GL);PUUR NOORDWIJK ( WenS - VN );Velsen Lokaal;Combinatie Gemeentebelangen;BurgerBelang;NIEUWE LEEUWARDER PARTIJ (NLP);Hart voor Hilversum;Volendam '80;Fractie Tonnaer;Student en Stad;OOSTSTELLINGWERFSBELANG;gewoon Nijmegen;Gemeentebelangen De Wolden;Gemeentebelangen Rijswijk (GR);GBBL Ubach over Worms;LOKAAL BELANG;Democratisch Onafhankelijken Stein;Democraten 66 Velsen;Stuurgroep-Dorpsbelang combinatie;Stadspartij Harderwijk Anders;Echt voor Albrandswaard;Politieke Partij DOE!;Stadspartij Leiden Ontzet;Lijst Pim Fortuyn Eindhoven;Sterk Meppel (SteM);Plop;Dorpsvisie;Gemeentebelangen Noordenveld;Breda '97;Progressief Oegstgeest;STIP;Leefbaar Oegstgeest;Gemeentebelangen Hoogeveen e.o.;Nederlandse Moslim Partij;Algemeen Deventer Belang;Gemeentebelangen B-E-S;Burgerbelang;GEMEENTEBELANGEN BORGER-ODOORN;Soest 2002;BBB-NDB;Kern'75;VVD/JES Noordwijk;GroenLinks/PE;Perspectief 21;Castricum Kern(en) Gezond (CKenG);Pro Arnhem;LIJST HARRY BAKKER;Nieuwe Lijn;Gemeentebelangen Binnenmaas;Onafhankelijk Delft;Valkenswaardse Belangen/DB/PUUR;Gemeente Belang Kampen;Winterswijks Belang;Leefbaar Schouwen-Duiveland;LEEFBAAR AMSTERDAM;Leefbaar Alkmaar;Communiceren met Burgers;D66/GROENLINKS/P.v.d.A.;Soc.Dem.Helmond/Ondernemend Helmond;Algemeen Belang Zuid-Westhoek (ABZ);Stadsbelangen;Gemeente Belangen 1990;A.B. (Aalsmeerse Belangen);Algemeen Belang Zwijndrecht;Leefbaar Zeewolde;H&G;Partij Nieuw Laarbeek;Gemeentebelangen Drechterland;Leefbaar Zoetermeer;De Groenen;Ouderen Partij Haarlem;Gemeentebelangen Overbetuwe;Burger Initiatief;Leefbaar 's-Hertogenbosch & Rosmalen;Heiloo-2000;Stadsbelangen Mestreech;Samen Sterk Maasdriel;Stadspartij Heerlen;Partij Souburg-Ritthem;Bilts Belang;P.C.W. (Protestantse Comb. W'veen);Gemeente Belangen Veldhoven (G.B.V.);WAT WASSENAAR WIL;Heerhugowaardse Onafhankelijke Partij;Roerstreek Lokaal!;Vernieuwingsgroep;Ouderen Partij Heerlen;Lokale Partij Middelburg (LPM);Lokale Partij I.P.V.;PrO (GroenLinks-PvdA-D66);Algemeen Belang Groot Hulst;Gemeenschapslijst;Lokaal Belang Montferland (LBM);Lokaal Alternatief;Stadspartij Nijmegen NU!;Hart voor Veghel;LOKAAL ALTERNATIEF;PROgressief 21 (D66, GroenLinks, PvdA);Lijst Riel-Goirle;Democratisch Zaanstad;OOG;Lokaal Belang Lingewaard;Lokale Dorpspartijen;Echte Lokale Aandacht Nu (ELAN);LGV;GEMEENTEBELANG RIJSSEN-HOLTEN;Gouda Positief;LEEFBAAR NIEUWEGEIN;Transparante Partij voor Algemeen Belang (T@B);PAPENDRECHTS ALGEMEEN BELANG;Nieuwe Democraten (ND);Politieke Partij voor Ouderen en Veiligheid;PAC;D.M.P. Heusden;Gemeente belangen Heerenveen;Gemeente Belangen Voorst;HELDER HELMOND;Jong Uden;Verenigde Senioren Partij Tilburg;Jongeren Akkoord Nederweert (J.A.N.);Leefbaar Purmerend 2001;Vereniging Liberaal Wormerland;Lokaal Veenendaal;Lijst Groen Noordenveld;Nieuw Enter Wierden (NEW);Dorpspartij;Zaanse politieke vereniging ROSA;Rucphense Volkspartij;'leefbaar eindhoven';D66/VVD;Gezond Burger Verstand;Groot Hontenisse;Nieuw Elan;DeurneNU;Democratische Groepering Geldrop (DGG);Hart-Leers;Platform Progressief Wierden (PPW);Leefbaar Breda/De parel van het Zuiden;AOV-Purmerend;Lijst 6 (Samen Beter Nieuwkoop);Leefbaar Schiedam / Schiedam Actief;Lokaal Onafhankelijk Bernisse;CPB (Christelijke Partij Burgerbelangen);Leefbaar Krimpen;Wij Putten;Partij voor Tilburg;Democraten Echt-Susteren;Stadspartij;Burgervertegenwoordiging Heuvelrug (BVH);Progressief Ermelo;PACT Aalsmeer;Seyst.Nu;Gemeentebelang Franekeradeel;ProTiel;DorpsGoed;Democratie Anders (L.A.D.A.);Kleurrijk Langedijk;Open en Duidelijk Stede Broec;Partij Westvoorne (PW);Partij Vrij Utrecht (PVU);Vooruitstrevend Dorpsbelang '78;Gemeente- en Dorpsbelang (GDB);Nieuw Lisse;Gemeentebelangen Bedum;Politieke Unie (P.U.);ONS Noordoostpolder;Plaatselijke Politieke Alliantie (PPA);GEMEENTEBELANGEN;OpKoers.nu;Reekse Politieke Partij;CAP (Christelijke Arbeiders Partij);Stadspartij Knillis;Gouda's 50+ Partij;Combinatie'95;Combinatie Algemeen Belang;PRO Sliedrecht;Onafhankelijk Geldrop Mierlo (OGM);GEMEENTEBELANG BERGAMBACHT (GB);Leefbaar Leiden;GBBL Nieuwenhagen;Gemeentebelangen Berkelland;Pro3;Verantwoorde Lokale Politiek (V.L.P.);Volkspartij Dongen;BuitenGewoon Leefbaar;Drentse Ouderen Partij (DOP);Vrije Kiesvereniging-Gemeentebelang;Platform Vianen;GBBL Schaesberg;Gemeentebelangen Eemsmond;Dorpspartij Mierlo (DPM);Lokale Partij Bergeijk;DUS! GROENLINKS en D66;Sint Anthonis NU;Demokraten Swalmen;Actiepartij;Leefbaar Dronten;W70;Burger Belangen Brunssum lijst Palmen;D66/P.v.d.A.;Progressief Westerveld/D66/GROENLINKS;Samenwerking '95;Fractie Franssen;Leefbaar Haaksbergen;Aalst-Waalre Belang/Gemeente Belangen '74;Leefbaar Tynaarlo/EVZ2000;Leefbaar Heerlen;De Werkgroep;Nieuwe Communistische Partij;Gemeentebelang Harderwijk/Hierden;Vijf Dorpen Belang/Lijst Overloon (VDB/LO);DORP-ABS;Gemeentebelangen Koggenland;Hart voor Urk;Leefbaar Hilversum;OGP Midden-Delfland;Nieuw Gemeentebelang;Partij Gemeente Belangen;Lingewaard NU;PAK (Progressief Akkoord);Leerdam 2000;De Liberalen;Lokale Partij Ommen;partij Gemeentebelangen;Lokaal Heeze-Leende;Dorpsbelangen Huizen;Bloeiend Hillegom-Lijst Wil van Aken;Maassluis Belang;BURGERFORUM;LEEFBAAR REIMERSWAAL (LR);Progressief Landerd;Dorpslijst Druten;Ondernemend Berkelland (OBL);Stadspartij Den Helder;Burgerbelang Zutphen Warnsveld;LEF! emmen;Gemeentebelangen 2000;Progressief Rhenen/GROENLINKS;BBL BurgerBelangen Leiderdorp;Ons Etten-Leur;Beijerlands Initiatief (Bint);Progressieve Partij;WOS;Progressief Akkoord;ALGEMEEN BELANG CUIJK (ABC-CUIJK);Liberaal Heemskerk;Partij Groot Meerssen;Algemeen Belang Oldebroek (A.B.O.);Smallingerlands Belang;BSD;Mijn Partij;Progressief Beek;Midden Partij Nieuwkoop;Gemeenschapslijst Someren-Eind en Sluis XIII;Christelijk Sociaal Den Haag - SGP;Liberale Partij Maastricht;ALA-AOV;Progressief Bernheze (P.v.d.A. / GROENLINKS);PROGRESSIEF HULST;Democraten Gemeente Heumen;Weststellingwerfs Belang;Democraten Voerendaal;Bernheze Solidair;Best Open;Inwonersbelangen Montfoort Linschoten;Lokale Partij Borsele;Lijst Stulp;Burgerbelangen gemeente Emmen (BGE);LARENS BEHOUD;Samenwerking;Gemeentebelangen Appingedam;Sociaal Rechts Haarlemmermeer (SRH);Partij Vrij Almelo (PVA);PK (Progressieve Kombinatie);Heemsteeds Burger Belang;Democratisch Schaijk '97;Gemeentebelangen Tynaarlo;Partij voor de IJsbaan;GBA;SAM Littenseradiel;Baarnse Onafhankelijke Partij;Hoornse Senioren Partij (HSP);Onafhankelijke Politieke Groepering (O.P.G.);Liberaal 2000;ZVV (Zaltbommel Veranderen Met Visie);Gemeente Belangen / DT Lokale Partij;Combinatie Nuenen c.a.;F.D. Dreumel;alert!;Vrije Hapertse Partij (V.H.P.);Algemeen Belang 90;Gemeentebelangen Achtkarspelen (GBA);Groesbeekse Volkspartij;StadsBelangen Vlaardingen;Gemeentebelangen (GB);Alphen Een;Dantumadeel'82;Dorpsbelangen en Toerisme Veere (DTV);Gemeentebelangen Opmeer;Progressief Halderb. (PvdA, D66, GROENLINKS);Lijst J. Hendrickx;VVD/G.B.;Stadspartij Wageningen;Duurzaam Sociaal Sportief Westerveld (DSSW);Progressief Nieuwkoop;Leefbaar Pijnacker-Nootdorp;Hoeven 2000;Samen voor Pekela;DEMOCRATISCH PODIUM;Keerpunt 74;Werkgroep '84;Dorpsbelang Langedijk;Leefbaar Simpelveld;Uw Drie Kernen;Progressief Zoeterwoude;Gemeentebelangen Olst-Wijhe;Frisse Wind Harlingen;Belangen Gelders Eiland;Gemeentebelang Boerenpartij;Progressief Uitgeest (P.U.);Protestants Christelijke Groepering;Gemeentebel Smilde-Beilen-Westerbork;Gemeentebelangen Lemsterland;Beemster Polder Partij;Kernbeleid;Partij voor Mens en Spirit;P.G.A. /P.v.d.A.;Trilokaal;Leefbaar Asten;Hart voor Rooi / Partij van de Arbeid;Burger Kiesvereniging Zijpe Callantsoog;Leefbaar Lelystad;V.O.L.G.;Groenlinksaf;Enschede Solidair;Hart voor Langedijk-D66;Algemeen Ouderen Verbond 2;Fractie 2014;Leefbaar Huizen;HELMONDSE BELANGEN/Leefbaar Helmond;Partij van de Eenvoud (P.V.E.);Amsterdamsche Belangen (AB);Ouderen Partij Zandvoort;Cranendonck Actief!;Leefbaar Delft;Progressief Alternatief Steenwijkerland (PAS);Burgerbelangen Roermond;Verenigd Progressief Grave (VPGrave);VierKernenPartij;GROEN BRABANT;Democratische Partij Boxtel-Liempde;De Onafhankelijken;ROODGEWOON;Almere Partij;Algemeen Belang Laarbeek;Blanco lijst Schmitz;Lijst Nissen;Brunssumse Christen Democraten (BCD);Texel 2010;Gemeentebelangen Leeuwarderadeel;Gemeentebelangen Gouda (GBG);Democraten Onderbanken;Politieke Vereniging Lijst Babijn;Groen Drimmelen (VP/D66);Lijst Loon op Zand;Democraten Beverwijk;Tulpen voor Amsterdam;Combinatie'90;Bladel Transparant;O.N.S. Halderberge;Demokratische Groepering Sint-Oedenrode;HOI;Nieuw Enkhuizen;Dorpslijst Oeffelt;Lijst Borger;Verenigd Gemeente Belang;Gemeentebelangen Westvoorne;Cromstrijen '98;ABT (Algemeen Belang Tholen);Lokaal Centraal;GEMEENTEBELANGEN WINSUM;Christelijke Volks Partij;Pro Actief Goirle;Ouderen Combinatie Amstelveen (OCA);Amsterdam Sociaal;Progressief96;VZ2000 Partij voor Veiligheid en Zorg;Algemeen Belang Dongeradeel;Partij vrij Groningen;Gemeentebelangen Beverwijk;STADS-Partij;Leefbaar Soest;Helmond Aktief;Gemeenschapsbelangen Halderberge;Gemeentebelangen Zwartewaterland;Algemeen Ouderen Verbond (AOV);Forza! Haarlem;Algemeen Belang Bernheze (ABB);Gemeentebelangen Neerijnen;V.L.O. Vrije Lijst Oostflakkee;Elburg Beleid;De Gewone Man;Democratische Onafhankelijke Partij ( D.O.P.);F.D. Maasdorpen;Lieropse Lijst;Zeevang Anders;Duurzaam Schagen '93;Werknemersbelang;B.B.H.;Partij Maasdonk;D66OMMEN;Hart voor Blaricum;Gemeenschapsbelang Venhorst;Gestels Belang;De VrijeLijst;Politieke Partij "LEEFBAAR NUTH";Progressief Leudal;D&T;Gemeentebelangen Stadskanaal (GBS);Leefbaar Diemen;Beter Alphen;Werkgroep het Bildt;Lijst Steenbergen Anders (LSA);Gemeentebelangen Smallingerland;STADSPARTIJ ARNHEM '92;Simpelveld Lokaal;Partij Nieuw Echt-Susteren;Partij Samenwerking;Vereniging Helder Zeeuws;Prostestant-Christelijke Groepering (PCG);Jongerenpartij JO;OpsterLanders;Agrarisch Belang;Nuenens Belang;Eerlijk Alternatief;Stop Wilders Nu;Lokaal Alert;Wieringen 05;Gewoon Uden;Welzijn Druten;Hoorns Belang;Liberaal Democraten IJsselstein LDIJ;PPP;De Stadspartij;Progressief Leefbaar Cuijk ca (PLC'93);Kiesvereniging Leusden '90;6 Kernen Belang;Gemeente Belangen Stede Broec (GBS);Pro Zeist;Verenigde Senioren Partij Heerhugowaard;B.V.T. Rooi;Partij van vrije Poldermensen (PvvP);Partij Spaarnestad;F.D. Boven-Leeuwen;Gemeentebelangen Slochteren;Schermer Belang;Progressief Winterswijk;RHENENS BELANG;Dorpslijst Puiflijk/Druten-Zuid;Weerbaar Waddinxveen;Progressieve Partij Groot Valkenburg;VWK Eersel Anders;Nederlandse Volks-Unie;Dorpspartij Ermelo;F.D. Beneden-Leeuwen;Lokale Partij Grave (LPG);Almere Voor Iedereen Partij (A-VIP);Samenwerkend Veldhoven;Lagere Lasten Dantumadiel;Gemeente Belangen Schiedam;Stadspartij Roermond;Gezond Verstand Haren;Transparant, Evenwichtig, Leefbaar;Loppersum Vooruit;Stem van Krimpen;Fractie Scheffers - Vrij en Onafhankelijk (V&O);Uitgeester vrije partij;Partij Voor De Eenheid;Liberaal Hardenberg;Nieuwe Albrandswaardse Partij (NAP);LPF (Lokale Politieke Federatie);Voerendaal Actief;LIJST KRAS;De Blaricumse Partij;Lijst Someren-Heide;CAPELLE.Nu!;LEV;Capels Belang;Algemeen Belang '89;AKKOORD '94;Samen Welzijn;Beeselse Lijst;Keerpunt '98 (K'98);Progressieve Partij Enschede ( P.P.E. );Eindhoven Nu;Burger Belangen Nu;P.B.B.;Burger Partij Hof;Tot behoud Huis De Haas;LIJSTVANBALEN;Gemeente Belang;PS (Progressief Schiedam);Harenkarspel in Beweging;PRINS - Voor behoorlijk bestuur;Unie Gemeentebelangen;Progressief Wieringermeer;Gemeentebelangen Bronckhorst (GBB);Vrijzinnig Democratisch Genootschap;Lijst Lobith-Tolkamer;STADSPARTIJ DOESBURG;Waterland Natuurlijk!;Gemeentebelangen Korendijk;STADSBELANG;Belangen Aalburgse Burgers (BAB);Onafhankelijke Fractie;Groep Hop;Gemeentebelangen Epe;Gemeente-, Jeugd- en Sportbelangen;gemeentebelangveghe!;VKG;Sociaal Zevenaar;Boxtels Belang;Sociaal Democraten Gemeente Losser;Wat Noordwijk Wil/Liberaal Noordwijk;LPF-LEEUWARDEN & KLOKKENLUIDERS;Democraten Roerdalen;Progressief Ondernemend Vlissingen;Partij Beneden-Leeuwen;Onze Nieuwegeinse Samenleving (O.N.S.);Onafhankelijke Partij;SAMEN VERDER;Partij Van den Burg;Dorpslijst Langenboom;Noord-Bevelands Belang (NBB);A.U.B.;D66-Hart voor Asten;Frije Bilkerts;Gemeente Belangen Samenwerkings Verband (GBSV);Texels Belang (TB);Buren Oprecht en Eerlijk (BOE);Dorpslijst Afferden;Politiek Beugen;Puur Bests Belang;GGP/D66;Natuurlijk Zijpe;Gemeente Belangen Zandvoort (G.B.Z.);GBT;POSITIEF LANDSMEER (PL);Ons Uithoorn;Lijst Cete;Liberaal Sociaal Democraten;Leefbaar Almelo;Door !;OPZ;Door Samenwerking Vooruit (DSV)/D66;GROEN!;Liberaal Laren;--;Groot-Nuth;Harlinger Belang;F.D. Wamel;Belangengroep Rijkevoort;Gemeentebelangen Ferwerderadeel (GBF);Gemeentebelangen Loppersum - D66;Lijst Huisman-Peeters;Gemeente Belangen Zeevang;Lijst Couwenberg;Plaatselijk Belang Terschelling;Sociaal Groesbeek;(H)eerlijk Zeist;Alle Kernen Troef (A.K.T.);OK(T)partij;Veuruutkiek (VUK);Nieuw Zundert & Werknemersbelangen;De Aalburgse Alliantie;Ouder-Amstel Anders;Burger Partij Groot Sittard (B.P.G.S-G);Lijst G. Wouters;LTS (Lijst Tinus Snyders);Strijens Belang;Hellendoorns Onafhankelijke Partij;Kritisch Menterwolde;Fractie Brants;3dpartij;PRO (PRogressief Onderbanken);DAAPS;Ideaalburg;Leefbaar Someren;Lijst F. Kroeze;Vooruitstrevende Partij Maasdonk;Keerpunt 2010;Lijst J.C.W.M. Vlemmix;Ubbergen Anders;Boekel's Welzijn;Lijst W. van Essen;Senioren Gestel;G.G.H.;Dorpslijst Deest;Lijst Gemonde;Betaalbaar & Duurzaam Vaals (B&DV);Onafhankelijken Partij Leidschendam-Voorburg;Rechts Protestants Christelijke Unie;Nederlandse Klokkenluiders Partij;AMELAND'82;Onafhankelijk Wieringermeer '04;Lijst Cees Freeke Terneuzen (LCF);NATIONALE DEMOCRATICHE PARTIJ (NDP);Pro-Vaals (Pr-Va);Democraten Diemen;Gemeente Belangen Wieringermeer;Spakenburgse Vrijheids Partij (SVP);Lijst R. Bergher;Klimaat en Omgevings Partij Almere (KOP);Pro Duiven;Partij moederCAO;VONK;Heemskerk Anders;Algemeen Belang Ameland;Kiesvereniging Gemeentebelangen Dirksland;Lokaal Sociaal;BURGERBELANGENALMELO;Lokale Partij Nuth (L.P.N.);Sociaal Liberale Volkspartij (SLVP);Algemeen Gemeenschaps Belang (A.G.B.);LOS;Solidara;Stem Terug;Lijst Quasten;Onafhankelijke Lokale Partij (O.L.P.);Dorpslijst Horssen;Sociaal Delfzijl;Frans Maas voor Oud en Jong;Vooruitstrevende Partij Baarle (VPB);Zinnig en Nuttig (ZEN);Lijst Beukers;BOBbes;Leefbaar Alphen/Alphense Stadspartij;Dorp Vinkel;Nationale Democratische Partij NDP;Het Verschil;Groep voor Vernieuwing;Belangengemeenschap Rozendaal (BGR);Sociaal Collectief Goirle-Riel (Sociaal Collectief);Partij Sociaal Nederland (PSN);Democratisch Onafhankelijk En Lokaal (DOEL);Recht Door Zee;Student058;Lijst R. Koekoek;Senioren Partij Druten;Lijst H.T. Huber;Nieuw Maarheeze;Unie van Democraten (De Unie);Lijst J. van Belle;VSP Alkmaar;Gemeentebelangen Galder, Strijbeek, Ulvenhout AC (GSU);Fractie Ulicoten (F.U);Vereniging Sociaal Economisch Belang;LIJST WILLEM LUCHT (LWL);Betaalbaar Bunschoten;Waddinxveens-Belang (W-B);Purmerend Sociaal;W.W.W.-Weststellingwerf;Lijst Peeters;Nieuw Heemstede;Sociaal Zandvoort;Oisterwijk Optimaal;PS (Partij Sleutelstad);Beter Buren;Veldhoven Peer Allicht Gewoon Goed (V.P.A.);Lijst F.A. Leal;Sprookjespartij voor de Blijheid;Algemeen Belang Niedorp;Lijst A. Faber;Rosendael'74 (R'74);Lijst Wiegel;Nieuwe Communistische Partij - NCPN;Lijst J.M.T. de Swart;PartijVoorBurgers;Fascinatio Middelwatering Wijk Belang;Lijst J. Baart;Progressieve Democratische Partij;Assen 2010;Democratische Partij voor Solidariteit;Ons-Vught;Fier & Actief;Burgerbelang (BB);Natuurlijk Groesbeek;Lijst-6;De Tweede Kramer;proAssen;PAK Rozendaal;Best Democratisch;Lijst Lashkari;Lijst W.N.R. Aarts;LOKAAL 10;Republikeinse Moderne Partij;Ons Belang;Politieke Vereniging "D'ran" (D'ran);Change;Duurzaam Sociaal Steenwijkerland (DSS);Chr. Groepering Schiermonnikoog;Algemeen Belang Vlieland;Roois Burger Belang;Democratische Partij voor Solidariteit (DPS);Gelovig Democratische Unie (G.D.U.);De Broederschapspartij;Schiermonnikoogs Belang;De Vrije Tegenpartij;Leefbaar Voerendaal;Lijst R. Barends;Partij voor V.V.V.;Lijst R.A. Verlinden;Gelderse Centrumdemocraten (Gelderse C.D.);We doen wat we zeggen (WDWWZ);Lijst Van Elk;Lijst P. Broen;Partij v. Sociale en Maatsch. Vernieuwing;DS 10;Partij voor Europese Politiek (PEP);8EURI.NL;De Liberale Partij;P.O.G.
Aa en Hunze;G1680;10787;Drenthe;P22;20148;12405;16;19;12370;3124;2298;1107;938;1251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalburg;G0738;11084;Noord-Brabant;P30;9330;6587;13;1;6573;448;471;1308;;;;765;1532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;639;;;;;;;;;;;;598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;22330;11282;21;31;11230;;2760;3242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
