RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Lokale partijen;VVD;CDA;Democraten 66 (D66);GROENLINKS;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);PVV (Partij voor de Vrijheid);ChristenUnie/SGP;Partij voor de Dieren;DENK;GROENLINKS/P.v.d.A.;50PLUS;D66/GROENLINKS/P.v.d.A.;Forum voor Democratie;NIDA;Fryske Nasjonale Partij (FNP);D66/GROENLINKS;Verenigde Senioren Partij;Algemeen Ouderen Verbond (AOV);Ouderen Politiek Actief (OPA);TROTS op Nederland Lijst Rita Verdonk;Piratenpartij;D66/P.v.d.A.;D66/GROENLINKS/P.v.d.A./SP;D66/VVD;JEZUS LEEFT;Nieuwe Communistische Partij (NCPN);U-Buntu Connected Front (UCF);Libertarische Partij (LP);Basis Inkomen Partij (BIP);Vrede en Recht;TROTS/OPA;QUEER
Tytsjerksteradiel;G0737;11241;Fryslân;P21;24862;15019;48;61;14910;;2073;3439;1014;2235;1725;;1605;;;;;;;;;;;2819;;;;;;;;;;;;;;;;;
Uden;G0856;11141;Noord-Brabant;P30;33258;18396;53;102;18241;7762;2439;2871;745;1017;747;2660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;10582;6877;23;28;6826;4137;746;701;726;;516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uithoorn;G0451;11206;Noord-Holland;P27;22965;11617;61;76;11480;4656;2528;1141;;;854;;;;;;;;;;;;;;2301;;;;;;;;;;;;;;;;
Urk;G0184;10783;Flevoland;P24;13518;10405;25;29;10351;3344;;2102;;;;;2301;1767;837;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrecht;G0344;10722;Utrecht;P26;269459;159046;595;629;157822;14076;20522;8428;32735;36231;9812;6419;6451;;5915;;8317;7662;;;;;;;;;;;;1254;;;;;;;;;;;
Utrechtse Heuvelrug;G1581;10777;Utrecht;P26;38922;24762;67;109;24586;3605;5535;3747;3782;;;;1069;2181;;;;;4667;;;;;;;;;;;;;;;;;;;;;;
Vaals;G0981;10007;Limburg;P31;8502;4200;37;51;4112;2534;;1088;;;490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;13927;8600;35;75;8490;3978;1170;1801;324;;;;;;;;;;1217;;;;;;;;;;;;;;;;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;25332;13335;54;91;13190;7580;1097;2544;635;;1334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veendam;G0047;11292;Groningen;P20;22134;11373;21;45;11307;4387;827;845;530;454;2103;1659;502;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veenendaal;G0345;11052;Utrecht;P26;48562;30958;112;77;30769;6915;4097;2722;1826;1160;809;1212;6629;4041;;;;1243;;;;;;;;;;;;;;;;115;;;;;;;
Veere;G0717;10369;Zeeland;P29;17609;12579;25;40;12514;2057;1951;2038;517;;;;;;;2986;;;2965;;;;;;;;;;;;;;;;;;;;;;
Veldhoven;G0861;10071;Noord-Brabant;P30;35859;18406;52;125;18229;8867;4321;1732;1639;;1670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Velsen;G0453;10620;Noord-Holland;P27;54341;28206;86;119;28001;10362;3498;2623;3818;2480;2282;1893;1045;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venlo;G0983;10477;Limburg;P31;81965;40207;155;174;39878;7137;5815;7017;1770;3259;4343;3862;;;3891;;;;;2784;;;;;;;;;;;;;;;;;;;;;
Venray;G0984;11222;Limburg;P31;34831;18506;83;100;18323;5593;1714;5439;2363;;789;2425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;56517;28658;126;97;28435;10901;2603;2411;1967;2414;1853;3029;;;;1680;;;;;;;;;;;1577;;;;;;;;;;;;;;
Vlieland;G0096;10211;Fryslân;P21;975;614;3;13;598;598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vlissingen;G0718;10270;Zeeland;P29;36097;17569;55;72;17442;7156;1512;774;847;1400;1392;1142;622;1164;;;;;;1433;;;;;;;;;;;;;;;;;;;;;
Voerendaal;G0986;11341;Limburg;P31;10259;6455;31;49;6375;3856;543;862;484;;630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;19822;12603;45;100;12458;1518;2991;2356;1618;2451;730;794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voorst;G0285;10912;Gelderland;P25;19395;11792;21;45;11726;5345;2225;1494;784;;;;;409;;;;;1469;;;;;;;;;;;;;;;;;;;;;;
Vught;G0865;11224;Noord-Brabant;P30;20744;12237;40;50;12147;3520;2353;868;1860;;;1077;;;;;;;2469;;;;;;;;;;;;;;;;;;;;;;
Waalre;G0866;10959;Noord-Brabant;P30;13437;8010;30;58;7922;3015;1251;1065;1147;881;563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;38463;18109;79;76;17954;6050;3395;1770;1734;2315;622;;743;1325;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;21764;13330;24;59;13247;1851;2356;1987;1854;;;;;;;3447;;;1752;;;;;;;;;;;;;;;;;;;;;;
Wageningen;G0289;11010;Gelderland;P25;30201;19097;61;89;18947;4734;1760;1183;3328;4245;1463;945;1289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;19766;11914;47;57;11810;4632;3240;1586;977;843;532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waterland;G0852;10983;Noord-Holland;P27;13794;9434;44;64;9326;1563;1968;2088;1056;1593;1058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weert;G0988;11081;Limburg;P31;40413;21818;88;153;21577;10789;3115;3825;1111;;896;1841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weesp;G0457;10773;Noord-Holland;P27;15165;9515;50;80;9385;3273;1232;1727;935;1453;765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
West Maas en Waal;G0668;10042;Gelderland;P25;15351;9919;28;27;9864;5813;1601;753;;;;964;;;;;;;;;;;;;;;;;;;;733;;;;;;;;;
Westerveld;G1701;10186;Drenthe;P22;15810;9939;29;59;9851;3509;1802;1235;;;1088;;;;;;;;;;;;;;2217;;;;;;;;;;;;;;;;
Westervoort;G0293;11085;Gelderland;P25;12128;6214;32;67;6115;;955;2107;710;763;524;1056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
