RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Rucphen;G0840;11152;Tilburg;K17;18229;6590;15;14;6561;1098;925;367;2194;778;295;88;;216;317;;32;;;;229;;;;;;;;;;;;;8;;;;;;10;;;;;;;;;;;;;3;1;;;;
Schagen;G0441;10511;Den Helder;K11;36703;17380;50;39;17291;3813;2646;1942;1872;1747;1915;607;;600;742;;265;;654;;;242;135;;;;;;;;;;;;100;;11;;;;;;;;;;;;;;;;;;;;;
Scherpenzeel;G0279;11146;Arnhem;K7;7034;4321;6;12;4303;694;699;255;404;141;185;59;498;51;103;1132;;;;;;;;;;;;;21;24;;;;10;;;;;;;8;;;5;;4;;2;;;;;;;8;;;
Schiedam;G0606;11260;Dordrecht;K14;55806;21217;93;70;21054;2715;2074;2468;4174;3039;2637;964;457;994;1045;162;;;;;;;;;;;;137;;;67;;;33;;;;;;72;;;;;;16;;;;;;;;;;;;
Schiermonnikoog;G0088;10355;Leeuwarden;K2;744;422;0;0;422;66;75;34;27;49;72;21;21;15;8;;;34;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;0;
Schijndel;G0844;11178;'s-Hertogenbosch;K18;18401;7733;22;15;7696;1116;1797;780;1015;1563;551;191;;181;343;;28;;;;112;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;5;4;;;;
Schinnen;G0962;10132;Maastricht;K19;10397;5603;17;34;5552;555;1910;492;809;762;360;165;;172;165;;;;;;;;;62;84;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;
Schouwen-Duiveland;G1676;10843;Middelburg;K16;26926;15078;32;27;15019;2695;2115;937;1494;1437;1116;570;841;;469;1980;;;;;;;;;;;;;;;;494;772;;;;;;;;;;99;;;;;;;;;;;;;;;
's-Gravenhage;G0518;11434;'s-Gravenhage;K12;347089;141356;602;606;140148;25497;10708;25559;21748;12455;16940;9418;3261;7741;4563;1057;;;;;;;;;;;;330;;;556;;;315;;;;;;;;;;;;;;;;;;;;;;;;
's-Hertogenbosch;G0796;10054;'s-Hertogenbosch;K18;116476;52369;191;137;52041;9416;6337;7841;6370;8360;5059;3616;;1950;1660;;513;;;;777;;;;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;28;16;;;;
Simpelveld;G0965;10515;Maastricht;K19;8517;3927;14;13;3900;237;1248;255;797;510;333;91;;115;135;;;;;;;;;30;143;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;
Sint Anthonis;G1702;11415;'s-Hertogenbosch;K18;9104;5037;16;19;5002;1034;1421;311;372;1144;220;144;;133;148;;29;;;;34;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;3;1;;;;
Sint-Michielsgestel;G0845;10496;'s-Hertogenbosch;K18;21957;10280;27;34;10219;1906;2208;1601;1065;1499;785;359;;249;305;;59;;;;153;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;9;5;;;;
Sint-Oedenrode;G0846;10399;'s-Hertogenbosch;K18;13835;6653;10;18;6625;1307;1576;725;667;1226;416;180;;144;248;;37;;;;61;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;28;5;;;;
Sittard-Geleen;G1883;11230;Maastricht;K19;74834;33792;119;159;33514;3175;7516;3223;6671;5541;2297;1494;;1072;1146;;;;;;;;;672;653;;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;
Sliedrecht;G0610;11331;Dordrecht;K14;18780;9406;29;24;9353;983;1161;467;1147;799;706;141;1118;230;304;2179;;;;;;;;;;;;37;;;28;;;17;;;;;;29;;;;;;7;;;;;;;;;;;;
Slochteren;G0040;10747;Groningen;K1;12133;6819;22;21;6776;686;718;453;481;990;740;279;961;231;81;;;;;794;;;;;;;;;;;;;;;;140;;;;;16;63;;;73;;31;;17;;;;;;;7;;15
Sluis;G1714;10895;Middelburg;K16;17737;8496;23;19;8454;1322;1777;528;927;900;824;214;162;;233;89;;;;;;;;;;;;;;;;364;827;;;;;;;;;;287;;;;;;;;;;;;;;;
Smallingerland;G0090;10405;Leeuwarden;K2;42823;23026;56;58;22912;2009;4271;1531;2031;3148;3555;678;3061;515;548;;;1461;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;;;61;;;;;;9;
Soest;G0342;11021;Utrecht;K8;34603;18944;49;41;18854;4315;2539;2986;2107;1269;1605;958;860;876;729;415;;;;;;;;;;;;;;;;;;18;;;;85;;34;;;;;;58;;;;;;;;;;;;
Someren;G0847;10203;'s-Hertogenbosch;K18;14564;6750;21;15;6714;1164;2351;444;876;806;396;141;;121;258;;46;;;;76;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;7;10;;;;
Son en Breugel;G0848;10549;'s-Hertogenbosch;K18;12445;6546;15;16;6515;1412;923;1038;565;709;508;433;;232;470;;115;;;;87;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;10;2;;;;
Stadskanaal;G0037;10610;Groningen;K1;25819;12589;38;40;12511;819;2073;562;1472;2317;1275;195;1874;244;554;;;;;630;;;;;;;;;;;;;;;;190;;;;;20;99;;;74;;59;;32;;;;;;;13;;9
Staphorst;G0180;11362;Zwolle;K4;11599;7501;10;9;7482;595;1042;190;506;159;231;59;1434;59;80;2988;;;;;;;;;;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stede Broec;G0532;11337;Den Helder;K11;16344;7486;26;32;7428;1417;1271;738;1048;963;566;218;;218;338;;160;;284;;;117;46;;;;;;;;;;;;38;;6;;;;;;;;;;;;;;;;;;;;;
Steenbergen;G0851;10731;Tilburg;K17;18388;7651;27;22;7602;1397;1023;598;1562;860;451;666;;224;317;;272;;;;197;;;;;;;;;;;;;8;;;;;;21;;;;;;;;;;;;;3;3;;;;
Steenwijkerland;G1708;10546;Zwolle;K4;33674;17665;39;49;17577;2771;3599;1547;1685;1706;2128;523;1580;488;837;247;;;;;;;;;;466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stein;G0971;11319;Maastricht;K19;20592;9561;29;23;9509;974;2298;700;2314;1371;616;233;;306;388;;;;;;;;;117;170;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;
Stichtse Vecht;G1904;10191;Utrecht;K8;48765;25733;68;72;25593;5427;3539;4074;3009;2124;2023;1157;1032;945;1212;716;;;;;;;;;;;;;;;;;;31;;;;206;;64;;;;;;34;;;;;;;;;;;;
Strijen;G0617;10558;Dordrecht;K14;7029;3546;9;9;3528;653;671;243;540;292;308;101;198;139;129;186;;;;;;;;;;;;14;;;30;;;5;;;;;;18;;;;;;1;;;;;;;;;;;;
Súdwest-Fryslân;G1900;11421;Leeuwarden;K2;64789;35694;85;100;35509;3959;9704;2572;2860;3434;4566;1041;1624;766;779;;;3898;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;233;;;;;;29;
Ten Boer;G0009;10891;Groningen;K1;5675;3549;20;7;3522;224;535;228;207;410;405;253;635;97;39;;;;;309;;;;;;;;;;;;;;;;63;;;;;15;36;;;31;;17;;6;;;;;;;4;;8
Terneuzen;G0715;10704;Middelburg;K16;40774;18373;55;55;18263;2030;2726;1263;2468;1919;1764;469;1198;;584;1180;;;;;;;;;;;;;;;;1470;503;;;;;;;;;;689;;;;;;;;;;;;;;;
Terschelling;G0093;11210;Leeuwarden;K2;3962;2011;5;10;1996;405;306;172;187;125;271;290;39;59;53;;;59;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;22;;;;;;1;
Texel;G0448;10237;Den Helder;K11;10694;5956;11;40;5905;1266;926;767;551;673;658;318;;183;162;;192;;104;;;39;38;;;;;;;;;;;;26;;2;;;;;;;;;;;;;;;;;;;;;
Teylingen;G1525;10017;Leiden;K15;26651;14322;50;46;14226;3638;2488;2266;1514;878;1210;529;360;462;513;63;;;;;;;;;;;;22;;;255;;;15;;;;;;;;;;;;13;;;;;;;;;;;;
Tholen;G0716;10376;Middelburg;K16;18990;10526;25;13;10488;1077;1143;307;1303;1171;625;115;859;;178;3255;;;;;;;;;;;;;;;;66;349;;;;;;;;;;40;;;;;;;;;;;;;;;
Tiel;G0281;10027;Nijmegen;K6;30974;12819;30;35;12754;2267;1313;1535;1986;1307;1523;497;382;443;492;176;;;;;;;;;;;;;39;640;;;;14;;;;;;;32;;;52;;10;;46;;;;;;;;;;
Tilburg;G0855;10792;Tilburg;K17;160776;59410;178;174;59058;8489;7158;9085;7484;10117;5957;4293;;2424;1934;;522;;;;1253;;;;;;;;;;;;;142;;;;;;98;;;;;;;;;;;;;58;44;;;;
Tubbergen;G0183;10694;Zwolle;K4;16058;7698;38;9;7651;1044;4305;424;687;372;333;119;38;73;169;29;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Twenterand;G1700;10643;Zwolle;K4;25611;12481;26;36;12419;890;3707;517;1522;979;813;225;2017;193;437;935;;;;;;;;;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tynaarlo;G1730;10002;Assen;K3;25398;14744;17;56;14671;2833;1440;2139;1187;1494;2326;1355;819;;523;43;;;;;;;;;;;309;;;;;;;;;;;;203;;;;;;;;;;;;;;;;;;;
Tytsjerksteradiel;G0737;11241;Leeuwarden;K2;24612;14074;29;39;14006;1246;3581;737;1163;1213;1960;500;1241;297;298;;;1700;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;35;;;;;;10;
Uden;G0856;11141;'s-Hertogenbosch;K18;31698;14801;38;41;14722;2794;2972;1545;1733;3078;987;391;;380;512;;97;;;;187;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;10;8;;;;
Uitgeest;G0450;11238;Den Helder;K11;10112;5361;8;11;5342;1082;822;698;663;510;507;227;;180;157;;45;;67;;;310;42;;;;;;;;;;;;30;;2;;;;;;;;;;;;;;;;;;;;;
Uithoorn;G0451;11206;Haarlem;K10;21241;10714;30;24;10660;2646;1277;1420;1581;867;962;425;;408;409;;200;;137;;;106;128;;;;;;;;;;;;88;;6;;;;;;;;;;;;;;;;;;;;;
Urk;G0184;10783;Lelystad;K5;12749;7035;11;8;7016;98;1225;12;510;39;15;2;1872;7;17;3180;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;0;;;;;;
Utrecht;G0344;10722;Utrecht;K8;246274;120233;315;504;119414;16317;7494;30512;7824;11368;14574;17436;3737;6590;1865;609;;;;;;;;;;;;;;;;;;217;;;;528;;189;;;;;;154;;;;;;;;;;;;
Utrechtse Heuvelrug;G1581;10777;Utrecht;K8;37195;22314;50;55;22209;4531;3057;3631;1855;1725;1725;1428;1009;1003;565;1388;;;;;;;;;;;;;;;;;;30;;;;203;;34;;;;;;25;;;;;;;;;;;;
Vaals;G0981;10007;Maastricht;K19;6167;2534;23;19;2492;177;646;164;480;337;231;72;;111;97;;;;;;;;;17;155;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;
Valkenburg aan de Geul;G0994;11077;Maastricht;K19;13606;6803;14;26;6763;775;2220;632;1100;839;433;202;;197;216;;;;;;;;;48;89;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;
Valkenswaard;G0858;11031;'s-Hertogenbosch;K18;24228;10643;13;57;10573;1725;2069;1091;1609;1662;804;333;;294;618;;104;;;;222;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;2;9;;;;
Veendam;G0047;11292;Groningen;K1;21871;10630;28;22;10580;884;854;660;1161;1911;1314;287;476;293;231;;;;;1603;;;;;;;;;;;;;;;;174;;;;;33;92;;;84;;471;;23;;;;;;;18;;11
Veenendaal;G0345;11052;Utrecht;K8;47283;24928;57;64;24807;3249;3516;2220;2433;1903;1354;560;4410;499;668;3764;;;;;;;;;;;;;;;;;;24;;;;84;;97;;;;;;26;;;;;;;;;;;;
Veere;G0717;10369;Middelburg;K16;17102;10827;18;15;10794;1854;1921;697;706;679;993;393;616;;253;2000;;;;;;;;;;;;;;;;260;285;;;;;;;;;;137;;;;;;;;;;;;;;;
Veghel;G0860;10985;'s-Hertogenbosch;K18;28222;12798;34;54;12710;2297;3360;1333;1442;2181;755;275;;293;468;;75;;;;183;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;21;10;;;;
Veldhoven;G0861;10071;'s-Hertogenbosch;K18;34159;15436;27;64;15345;2678;2574;1893;1898;2753;1113;536;;461;895;;225;;;;266;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;18;7;;;;
Velsen;G0453;10620;Haarlem;K10;51532;23403;76;84;23243;3756;2246;3221;3583;2798;2396;1001;;946;962;;806;;411;;;681;198;;;;;;;;;;;;150;;88;;;;;;;;;;;;;;;;;;;;;
Venlo;G0983;10477;Venlo;K191;75493;32510;81;147;32282;5226;6523;2725;6361;4539;2486;1317;;817;1175;;;;;;;;;577;425;;;;;;;;;;;;;;;;;;;;;;;;;111;;;;;;;;
Venray;G0984;11222;Venlo;K191;32815;14736;29;33;14674;1591;5125;1685;1736;2301;807;624;;206;414;;;;;;;;;96;62;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;
Vianen;G0620;10887;Utrecht;K8;15083;7266;25;18;7223;1239;1064;861;988;783;638;187;344;243;328;372;;;;;;;;;;;;;;;;;;12;;;;129;;24;;;;;;11;;;;;;;;;;;;
Vlaardingen;G0622;10811;Dordrecht;K14;54128;23027;73;85;22869;3077;2634;2274;4075;3473;2482;1049;891;930;1148;601;;;;;;;;;;;;86;;;53;;;29;;;;;;51;;;;;;16;;;;;;;;;;;;
Vlagtwedde;G0048;11249;Groningen;K1;12725;6306;13;18;6275;567;1054;272;957;969;685;213;304;271;258;;;;;434;;;;;;;;;;;;;;;;113;;;;;15;47;;;38;;15;;26;;;;;;;9;;28
Vlieland;G0096;10211;Leeuwarden;K2;878;402;2;4;396;133;26;56;31;37;48;7;4;26;15;;;11;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;2;;;;;;0;
Vlissingen;G0718;10270;Middelburg;K16;34151;14714;56;45;14613;1945;1480;1422;1894;2366;1783;644;639;;761;435;;;;;;;;;;;;;;;;425;583;;;;;;;;;;236;;;;;;;;;;;;;;;
Voerendaal;G0986;11341;Maastricht;K19;10086;5288;9;20;5259;524;1036;565;730;651;401;165;;149;123;;;;;;;;;58;850;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;
Voorschoten;G0626;10537;Leiden;K15;18598;10908;35;39;10834;2637;1383;1924;916;649;1115;1068;211;466;318;49;;;;;;;;;;;;32;;;40;;;10;;;;;;;;;;;;16;;;;;;;;;;;;
Voorst;G0285;10912;Arnhem;K7;18977;9765;22;21;9722;2198;1928;1286;779;828;957;405;221;256;318;271;;;;;;;;;;;;;100;80;;;;11;;;;;;;22;;;19;;10;;26;;;;;;;7;;;
Vught;G0865;11224;'s-Hertogenbosch;K18;19986;10116;19;34;10063;2441;1374;1753;752;1390;967;573;;313;261;;86;;;;127;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;3;3;;;;
Waalre;G0866;10959;'s-Hertogenbosch;K18;12870;6999;16;17;6966;1624;1061;1148;673;810;485;333;;248;323;;90;;;;141;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;12;4;;;;
Waalwijk;G0867;11359;Tilburg;K17;36105;15012;58;38;14916;2553;2338;1405;2296;1958;843;708;;447;718;;1219;;;;347;;;;;;;;;;;;;30;;;;;;30;;;;;;;;;;;;;13;11;;;;
Waddinxveen;G0627;10081;Leiden;K15;19663;10263;23;39;10201;1731;1459;991;1143;626;792;240;1110;246;370;1293;;;;;;;;;;;;20;;;149;;;23;;;;;;;;;;;;8;;;;;;;;;;;;
Wageningen;G0289;11010;Arnhem;K7;27629;16162;35;46;16081;1722;1413;3603;674;1438;1911;2761;849;729;243;234;;;;;;;;;;;;;181;85;;;;28;;;;;;;82;;;73;;20;;28;;;;;;;7;;;
Wassenaar;G0629;10164;Leiden;K15;17596;10157;35;24;10098;3634;1616;1229;1153;433;553;405;148;357;311;60;;;;;;;;;;;;119;;;48;;;22;;;;;;;;;;;;10;;;;;;;;;;;;
Waterland;G0852;10983;Den Helder;K11;13427;7981;26;22;7933;1536;1262;957;899;766;752;773;;310;228;;159;;118;;;77;59;;;;;;;;;;;;34;;3;;;;;;;;;;;;;;;;;;;;;
Weert;G0988;11081;Venlo;K191;38389;17440;57;71;17312;3241;3539;1570;2650;2537;1130;318;;428;780;;;;;;;;;325;747;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;
Weesp;G0457;10773;Haarlem;K10;13917;6895;28;20;6847;1284;834;1028;744;636;819;539;;282;237;;156;;110;;;73;49;;;;;;;;;;;;45;;11;;;;;;;;;;;;;;;;;;;;;
Werkendam;G0870;10078;Tilburg;K17;20312;9931;20;28;9883;1213;2176;480;1200;679;473;214;;176;289;;2742;;;;204;;;;;;;;;;;;;13;;;;;;20;;;;;;;;;;;;;0;4;;;;
West Maas en Waal;G0668;10042;Nijmegen;K6;14633;7104;19;28;7057;1545;1340;672;996;1184;429;182;58;168;322;17;;;;;;;;;;;;;25;70;;;;7;;;;;;;15;;;17;;5;;5;;;;;;;;;;
Westerveld;G1701;10186;Assen;K3;15306;8681;11;26;8644;2020;1137;901;721;823;1384;633;293;;414;56;;;;;;;;;;;147;;;;;;;;;;;;115;;;;;;;;;;;;;;;;;;;
Westervoort;G0293;11085;Arnhem;K7;11873;5385;10;18;5357;796;804;635;669;918;579;253;128;199;216;17;;;;;;;;;;;;;60;24;;;;9;;;;;;;17;;;15;;2;;10;;;;;;;6;;;
Westland;G1783;11418;Dordrecht;K14;77582;39100;106;122;38872;10157;9656;3047;6299;1860;2119;672;1471;1008;1398;827;;;;;;;;;;;;102;;;95;;;48;;;;;;98;;;;;;15;;;;;;;;;;;;
Weststellingwerf;G0098;11322;Leeuwarden;K2;20253;10040;22;35;9983;1794;1823;623;1109;1231;1537;447;344;297;367;;;350;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;35;;;;;;9;
Westvoorne;G0614;10009;Dordrecht;K14;11333;5878;22;23;5833;1704;699;639;919;490;492;121;81;281;276;53;;;;;;;;;;;;31;;;24;;;7;;;;;;11;;;;;;5;;;;;;;;;;;;
Wierden;G0189;10676;Zwolle;K4;18362;10192;21;8;10163;1430;3569;769;901;562;525;200;1133;109;339;515;;;;;;;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wijchen;G0296;10723;Nijmegen;K6;31619;14874;32;36;14806;2551;2915;2106;1794;2090;1248;533;150;432;622;23;;;;;;;;;;;;;65;128;;;;16;;;;;;;45;;;49;;14;;25;;;;;;;;;;
Wijdemeren;G1696;10534;Haarlem;K10;18105;9815;21;16;9778;2640;1542;1413;1031;633;747;343;;352;300;;383;;113;;;183;58;;;;;;;;;;;;37;;3;;;;;;;;;;;;;;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;K8;18023;9302;17;34;9251;1842;1207;1155;1021;1246;696;612;336;331;295;396;;;;;;;;;;;;;;;;;;14;;;;80;;14;;;;;;6;;;;;;;;;;;;
Winsum;G0053;11135;Groningen;K1;10542;6611;14;26;6571;511;1016;381;316;749;1219;466;842;254;85;;;;;450;;;;;;;;;;;;;;;;115;;;;;16;49;;;59;;29;;6;;;;;;;6;;2
Winterswijk;G0294;11119;Arnhem;K7;22293;10622;20;36;10566;2303;1752;1167;759;1591;1382;357;214;266;292;36;;;;;;;;;;;;;218;154;;;;6;;;;;;;34;;;21;;4;;8;;;;;;;2;;;
Woensdrecht;G0873;10602;Tilburg;K17;16220;6865;18;13;6834;1052;1588;555;1330;811;441;124;;287;291;;61;;;;271;;;;;;;;;;;;;10;;;;;;10;;;;;;;;;;;;;1;2;;;;
Woerden;G0632;10974;Utrecht;K8;38078;21360;37;61;21262;3761;4313;2965;1843;1407;1567;807;1460;714;542;1062;;;;;;;;;;;;;;;;;;19;;;;718;;65;;;;;;19;;;;;;;;;;;;
Wormerland;G0880;10648;Den Helder;K11;12338;6165;20;25;6120;1154;602;720;688;849;695;369;;274;263;;164;;156;;;85;57;;;;;;;;;;;;35;;9;;;;;;;;;;;;;;;;;;;;;
Woudenberg;G0351;11398;Utrecht;K8;9243;5773;15;9;5749;872;944;421;424;276;332;106;598;100;147;1464;;;;;;;;;;;;;;;;;;3;;;;44;;15;;;;;;3;;;;;;;;;;;;
Woudrichem;G0874;10282;Tilburg;K17;11149;5628;15;10;5603;667;1892;245;503;360;263;112;;112;105;;1196;;;;114;;;;;;;;;;;;;4;;;;;;24;;;;;;;;;;;;;4;2;;;;
Zaanstad;G0479;11044;Den Helder;K11;112793;48698;170;148;48380;6934;3813;6191;7045;6962;5518;2385;;2515;2031;;1499;;1547;;;608;516;;;;;;;;;;;;383;;433;;;;;;;;;;;;;;;;;;;;;
Zaltbommel;G0297;10557;Nijmegen;K6;20064;10780;32;31;10717;1449;1483;990;1045;812;766;365;1041;243;268;2083;;;;;;;;;;;;;37;70;;;;19;;;;;;;23;;;14;;4;;5;;;;;;;;;;
Zandvoort;G0473;10910;Haarlem;K10;13268;6326;22;21;6283;1722;633;623;1097;419;466;150;;296;261;;44;;352;;;114;50;;;;;;;;;;;;53;;3;;;;;;;;;;;;;;;;;;;;;
Zederik;G0707;10618;Dordrecht;K14;10463;6428;20;10;6398;857;1547;253;547;322;438;116;772;102;108;1285;;;;;;;;;;;;8;;;25;;;2;;;;;;16;;;;;;0;;;;;;;;;;;;
Zeevang;G0478;11121;Den Helder;K11;4906;2853;4;5;2844;828;265;330;407;186;310;167;;134;83;;23;;43;;;18;31;;;;;;;;;;;;17;;2;;;;;;;;;;;;;;;;;;;;;
Zeewolde;G0050;10012;Lelystad;K5;15242;8450;21;15;8414;1944;1346;773;923;573;455;417;1044;268;427;199;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;24;;;;;;
Zeist;G0355;10324;Utrecht;K8;46091;25088;60;79;24949;5241;2678;4624;2364;2069;2256;1901;1060;1186;611;739;;;;;;;;;;;;;;;;;;15;;;;130;;55;;;;;;20;;;;;;;;;;;;
Zevenaar;G0299;10938;Arnhem;K7;25707;12050;30;35;11985;1858;2364;1409;1315;1448;1244;387;142;354;423;24;;;;;;;;;;;;;199;699;;;;10;;;;;;;32;;;33;;12;;18;;;;;;;14;;;
Zoetermeer;G0637;10766;Leiden;K15;94944;42363;115;129;42119;7248;4288;5735;6947;4592;4523;1677;1541;1825;1823;698;;;;;;;;;;;;954;;;140;;;65;;;;;;;;;;;;63;;;;;;;;;;;;
Zoeterwoude;G0638;11074;Leiden;K15;6395;3417;11;15;3391;681;738;447;361;290;365;157;65;120;104;36;;;;;;;;;;;;7;;;14;;;2;;;;;;;;;;;;4;;;;;;;;;;;;
Zuidhorn;G0056;10021;Groningen;K1;14031;9055;20;22;9013;778;1627;674;422;1127;930;609;1838;223;117;;;;;333;;;;;;;;;;;;;;;;161;;;;;23;45;;;56;;21;;15;;;;;;;12;;2
Zuidplas;G1892;10855;Leiden;K15;30988;16298;40;33;16225;3307;2074;1658;1852;1461;1253;440;1288;514;553;1688;;;;;;;;;;;;47;;;52;;;25;;;;;;;;;;;;13;;;;;;;;;;;;
Zundert;G0879;11192;Tilburg;K17;16340;6390;18;26;6346;1368;1690;542;834;748;353;137;;191;256;;45;;;;154;;;;;;;;;;;;;7;;;;;;9;;;;;;;;;;;;;9;3;;;;
Zutphen;G0301;10254;Arnhem;K7;36083;18038;55;53;17930;2367;1718;2699;1342;2700;2458;1742;687;1070;520;75;;;;;;;;;;;;;224;78;;;;26;;;;;;;127;;;47;;11;;31;;;;;;;8;;;
Zwartewaterland;G1896;10746;Zwolle;K4;15977;9301;12;8;9281;663;1727;312;683;567;577;102;1918;81;186;2387;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zwijndrecht;G0642;10468;Dordrecht;K14;34553;15371;56;50;15265;2311;2202;1372;2420;1454;1314;339;1291;464;781;1100;;;;;;;;;;;;81;;;48;;;20;;;;;;61;;;;;;7;;;;;;;;;;;;
Zwolle;G0193;10093;Zwolle;K4;94374;48767;76;164;48527;5713;5997;6880;3193;5545;6877;3400;6925;1591;1178;649;;;;;;;;;;579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
