RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Nijkerk;G0267;10446;Arnhem;K7;30536;16438;40;30;16368;2621;3227;1336;1932;862;875;481;2215;326;447;1726;;;;;;;;;;;;;73;86;;;;27;;;;;;;48;;;29;;21;;24;;;;;;;12;;;
Nijmegen;G0268;11209;Nijmegen;K6;133943;64276;179;266;63831;6736;4553;12110;4699;11330;7605;10064;922;3000;1283;146;;;;;;;;;;;;;229;234;;;;77;;;;;;;288;;;378;;78;;99;;;;;;;;;;
Nissewaard;G1930;10735;Dordrecht;K14;66834;26469;108;89;26272;3833;2664;1962;6290;3974;2650;556;800;1105;1658;325;;;;;;;;;;;;207;;;105;;;41;;;;;;85;;;;;;17;;;;;;;;;;;;
Noord-Beveland;G1695;10250;Middelburg;K16;5887;3169;8;10;3151;536;496;196;360;333;257;115;84;;88;216;;;;;;;;;;;;;;;;334;96;;;;;;;;;;40;;;;;;;;;;;;;;;
Noordenveld;G1699;10699;Assen;K3;24752;13752;27;47;13678;2380;1506;1682;1291;1467;2330;1039;727;;664;59;;;;;;;;;;;348;;;;;;;;;;;;185;;;;;;;;;;;;;;;;;;;
Noordoostpolder;G0171;10144;Lelystad;K5;33486;17919;62;40;17817;3107;4318;1408;1510;1980;1183;463;1956;313;505;950;;;;;;;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;81;;;;;;
Noordwijk;G0575;10769;Leiden;K15;19606;9702;22;36;9644;2681;1350;1210;1332;705;812;374;207;345;429;63;;;;;;;;;;;;22;;;90;;;16;;;;;;;;;;;;8;;;;;;;;;;;;
Noordwijkerhout;G0576;11134;Leiden;K15;12142;6363;36;24;6303;1603;1051;659;840;446;437;278;66;206;270;17;;;;;;;;;;;;39;;;376;;;10;;;;;;;;;;;;5;;;;;;;;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;'s-Hertogenbosch;K18;17877;10027;14;46;9967;1927;1481;1626;858;1505;1018;657;;278;349;;119;;;;114;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;12;5;;;;
Nunspeet;G0302;10512;Arnhem;K7;20299;12318;16;26;12276;1297;1979;533;982;519;368;181;1943;250;223;3878;;;;;;;;;;;;;24;30;;;;9;;;;;;;15;;;20;;13;;10;;;;;;;2;;;
